version,target_commit,id,family,kind,basis,expected,outcome,token_valid,unauthorized_approval,unauthorized_receipt,simulated_receipts,expected_met,measurement_valid,description
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,I05,input_integrity,unsafe,existing_contract,reject,reject,False,False,False,0,True,True,Native evidence must supply its digest.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,I06,input_integrity,unsafe,existing_contract,reject,reject,False,False,False,0,True,True,Unknown authority-related fields must not be silently discarded.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,I07,input_integrity,unsafe,existing_contract,reject,reject,False,False,False,0,True,True,The native approval array is required even when empty.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,F01,evidence_freshness,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,A required observation is 61 seconds old in a fresh envelope.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,F02,evidence_freshness,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,One required behavior is stale while the others are fresh.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,F03,evidence_freshness,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,A required observation is 31 seconds in the future.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,F04,evidence_freshness,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,A fresh envelope reuses an observation from 1999.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,H01,approval_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,An attacker invents the sole required approval label.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,H02,approval_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,Two fabricated labels must not satisfy dual approval.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,H03,approval_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,Two distinct strings can refer to one principal.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,H04,approval_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,A known approver label is reused without approval for this request.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,E01,evidence_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,Two labels conceal one attacker-controlled source.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,E02,evidence_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,A syntactically valid digest is not proof of evidence authenticity.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,E03,evidence_authenticity,unsafe,extended_assurance,withhold,approve,True,True,True,1,False,True,Authentic-looking source names are impersonated.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,P01,policy_gates,unsafe,existing_contract,deny,deny,False,False,False,0,True,True,Globally forbidden host wipe must be denied.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,P02,policy_gates,unsafe,existing_contract,deny,deny,False,False,False,0,True,True,Globally forbidden recovery disablement must be denied.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,P03,policy_gates,unsafe,existing_contract,deny,deny,False,False,False,0,True,True,An actual false reversibility flag must prevent containment.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,P04,policy_gates,unsafe,existing_contract,deny,deny,False,False,False,0,True,True,Expired envelopes cannot authorize an action.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,P05,policy_gates,unsafe,existing_contract,deny,deny,False,False,False,0,True,True,A mismatched policy version must be denied.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V01,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Complete reversible endpoint-isolation request.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V02,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Complete narrow session-revocation request.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V03,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Complete egress-hold request with trusted-origin approval precondition.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V04,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Complete quarantine request with two trusted-origin approvals.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V05,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Ransomware confidence exactly at configured threshold.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V06,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Identity confidence exactly at configured threshold.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V07,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Egress-hold confidence exactly at configured threshold.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,V08,eligible_response,valid,existing_contract,approve,approve,True,,,1,True,True,Quarantine confidence exactly at configured threshold.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,R01,review_controls,review,existing_contract,escalate,escalate,False,,False,0,True,True,Contradictory evidence must trigger review.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,R02,review_controls,review,existing_contract,escalate,escalate,False,,False,0,True,True,Missing a required behavior must trigger review.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,R03,review_controls,review,existing_contract,escalate,escalate,False,,False,0,True,True,One approval is insufficient for the dual gate.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,R04,review_controls,review,existing_contract,escalate,escalate,False,,False,0,True,True,Repeated source identity cannot satisfy corroboration.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,B01,benign_controls,benign,existing_contract,withhold,escalate,False,,False,0,True,True,Routine maintenance has no applicable threat policy.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,B02,benign_controls,benign,existing_contract,withhold,escalate,False,,False,0,True,True,Low-confidence resemblance must not cause containment.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,B03,benign_controls,benign,existing_contract,withhold,escalate,False,,False,0,True,True,An authorized backup pattern lacks recovery deletion evidence.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,B04,benign_controls,benign,existing_contract,withhold,escalate,False,,False,0,True,True,A new device with legitimate MFA enrollment lacks takeover behaviors.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G01,gateway_binding,gateway,existing_contract,block,blocked,True,,False,0,True,True,Change action after a valid token is issued.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G02,gateway_binding,gateway,existing_contract,block,blocked,True,,False,0,True,True,Change target after a valid token is issued.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G03,gateway_binding,gateway,existing_contract,block,blocked,True,,False,0,True,True,Widen scope after a valid token is issued.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G04,gateway_binding,gateway,existing_contract,block,blocked,True,,False,0,True,True,Alter the signature without access to the signing key.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G05,gateway_binding,gateway,existing_contract,block,blocked,True,,False,0,True,True,Present a token after its expiry.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G06,gateway_replay,gateway,existing_contract,block,blocked,True,,False,1,True,True,Reuse one token against the same gateway instance.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G07,gateway_replay,gateway,extended_assurance,block,accepted,True,,True,2,False,True,Reuse one token against another gateway with default state.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,G08,gateway_replay,gateway,extended_assurance,block,accepted,True,,True,2,False,True,Reuse one token in a separate fresh Python process.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,L01,guardian_replay,lifecycle,existing_contract,block,blocked,True,,False,1,True,True,Re-evaluate one envelope in the same Guardian instance.
repaired,651bd4a465661c7c54d58d3c60c279338b727c4f,L02,guardian_replay,lifecycle,extended_assurance,block,accepted,True,,True,2,False,True,"Re-evaluate one envelope in a fresh Guardian, then use a shared gateway."
